timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460690079424,4667,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,4667
1460690079240,5253,HTTP Request,200,OK,Thread Group 1-3,text,true,1270,5,5,5253
1460690083233,1576,HTTP Request,200,OK,Thread Group 1-1,text,true,1345,5,5,1576
1460690082685,2215,HTTP Request,200,OK,Thread Group 1-4,text,true,3161,5,5,2215
1460690081612,3706,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,3706
1460690084494,1782,HTTP Request,200,OK,Thread Group 1-3,text,true,979,5,5,1782
1460690084819,1957,HTTP Request,200,OK,Thread Group 1-1,text,true,1316,5,5,1957
1460690085318,1646,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,1646
1460690084900,2103,HTTP Request,200,OK,Thread Group 1-4,text,true,1204,5,5,2103
1460690087004,2005,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,2005
1460690084091,5200,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,5200
1460690086276,3101,HTTP Request,200,OK,Thread Group 1-3,text,true,1345,5,5,3101
1460690086965,2416,HTTP Request,200,OK,Thread Group 1-2,text,true,979,5,5,2416
1460690086776,5232,HTTP Request,200,OK,Thread Group 1-1,text,true,1031,5,5,5232
1460690089377,2694,HTTP Request,200,OK,Thread Group 1-3,text,true,1270,5,5,2694
1460690089009,3256,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,3256
1460690089292,3198,HTTP Request,200,OK,Thread Group 1-5,text,true,3236,5,5,3198
1460690092073,1367,HTTP Request,200,OK,Thread Group 1-3,text,true,1391,5,5,1367
1460690092010,1666,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,1666
1460690092266,1701,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,1701
1460690089381,5736,HTTP Request,200,OK,Thread Group 1-2,text,true,1106,5,5,5736
1460690093440,1701,HTTP Request,200,OK,Thread Group 1-3,text,true,1270,5,5,1701
1460690092491,3079,HTTP Request,200,OK,Thread Group 1-5,text,true,3236,5,5,3079
1460690093677,4053,HTTP Request,200,OK,Thread Group 1-1,text,true,1031,5,5,4053
1460690095141,2784,HTTP Request,200,OK,Thread Group 1-3,text,true,1204,5,5,2784
1460690093968,4031,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,4031
1460690095570,2737,HTTP Request,200,OK,Thread Group 1-5,text,true,3236,5,5,2737
1460690095118,3397,HTTP Request,200,OK,Thread Group 1-2,text,true,1391,5,5,3397
1460690097999,2174,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,2174
1460690097730,2894,HTTP Request,200,OK,Thread Group 1-1,text,true,1345,5,5,2894
1460690098308,2780,HTTP Request,200,OK,Thread Group 1-5,text,true,1391,5,5,2780
1460690097925,4263,HTTP Request,200,OK,Thread Group 1-3,text,true,1106,5,5,4263
1460690100174,2437,HTTP Request,200,OK,Thread Group 1-4,text,true,3161,5,5,2437
1460690100624,2103,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,2103
1460690098515,4253,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,4253
1460690102188,2349,HTTP Request,200,OK,Thread Group 1-3,text,true,1054,5,5,2349
1460690101087,3920,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,3920
1460690102727,2471,HTTP Request,200,OK,Thread Group 1-1,text,true,1204,5,5,2471
1460690102767,2844,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,2844
1460690102611,3173,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,3173
1460690104537,2185,HTTP Request,200,OK,Thread Group 1-3,text,true,1270,5,5,2185
1460690105199,1639,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,1639
1460690105612,1668,HTTP Request,200,OK,Thread Group 1-2,text,true,1316,5,5,1668
1460690105785,1810,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,1810
1460690106723,1417,HTTP Request,200,OK,Thread Group 1-3,text,true,3236,5,5,1417
1460690106839,1659,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,1659
1460690105007,5548,HTTP Request,200,OK,Thread Group 1-5,text,true,1106,5,5,5548
1460690107596,3104,HTTP Request,200,OK,Thread Group 1-4,text,true,1054,5,5,3104
1460690107280,4062,HTTP Request,200,OK,Thread Group 1-2,text,true,1031,5,5,4062
1460690108498,3082,HTTP Request,200,OK,Thread Group 1-1,text,true,1129,5,5,3082
1460690108141,3645,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,3645
